,Unnamed: 0,Preço,Localização,Área Terreno (m2),Quartos,Casas de Banho,Área Útil (m2),Estacionamento,Certificado Energético,Piso,Elevador,Frações,Pisos,Área Bruta Construção (m2),Área Habitação (m2),Área Implantação (m2),Viabilidade Construção,Vedado
66,66,550.000,"Repeses e São Salvador, Viseu",,4,4,246,2,,3,,,,,,,,
67,67,130.000,"São João da Madeira, Aveiro",115,2,1,50,1,,,,,,,,,,
68,68,177.500,"SAMORA CORREIA, Benavente",,2,1,105,1,,2,,,,,,,,
69,69,345.000,"Portimão, Faro",,4,3,137,3,,1,,,,,,,,
70,70,345.000,"Portimão, Faro",,4,3,137,3,,1,,,,,,,,
71,71,199.900,"Falagueira-Venda Nova, Lisboa",,2,1,63,,,0,,,,,,,,
72,72,,"Águas Santas, Porto",,,,,0,,,,,,,,,,
73,73,160.000,"Canedo, Vale e Vila Maior, Aveiro",,3,2,104,1,,4,,,,,,,,
74,74,165.000,"Setúbal, Setúbal",,2,2,81,,,0,,,,,,,,
75,75,385.000,"Príncipe Real, Lisboa, Lisboa",,1,1,64,,,0,,,,,,,,
76,76,133.000,"Madalena e Samaiões, Vila Real",,4,3,158,,,3,,,,,,,,
77,77,Sob Consulta,"Ribeira de Fráguas, Albergaria-a-Velha",1250,3,1,98,,,,,,,,,,,
78,78,395.000,"São Vicente, Lisboa",,2,1,73,,,0,,,,,,,,
79,79,675.000,"Queijas, Oeiras",285,3,2,102,,,,,,,,,,,
80,80,130.000,"Cantanhede, Cantanhede",,2,1,103,1,,1,,,,,,,,
81,81,99.000,"Campo e Sobrado, Porto",510,2,2,60,3,,,,,,,,,,
82,82,Sob Consulta,"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",,4,3,160,2,,2,,,,,,,,
83,83,200.000,"Ramalde, Porto",,2,1,81,,,2,,,,,,,,
84,84,310.000,"Fafe, Fafe",300,3,3,167,2,,,,,,,,,,
85,85,295.000,"Boa Ventura, Ilha da Madeira",1923,6,1,414,5,,,,,,,,,,
86,86,330.000,"Fafe, Fafe",300,3,3,167,2,,,,,,,,,,
87,87,130.000,"Lourosa, Aveiro",,2,2,105,1,,0,,,,,,,,
88,88,,"Ermesinde, Porto",252-280,3,3,157-160,4,,,,0,2-3,256-280,,,,
89,89,850.000,"Santo António, Lisboa",,7,2,175,1,,3,,,,,,,,
90,90,348.000,"Pólo ISAVE, Amares, Amares",555,3,3,138,3,,,,,,,,,,
91,91,195.000,"Pólo ISAVE, Amares, Amares",620,3,2,155,2,,,,,,,,,,
92,92,33.000,"Santiago e São Simão de Litém e Albergaria dos Doze, Leiria",869,3,1,80,2,,,,,,,,,,
93,93,1.200.000,"Parede, Cascais",554,5,5,160,5,,,,,,,,,,
94,94,400.000,"Santa Catarina Fonte do Bispo, Tavira",552,3,3,139,2,,0,,,,,,,,
95,95,320.000,"Gradil, Mafra, Mafra",89,3,3,136,2,,,,,,,,,,
96,96,450.000,"Santa Catarina Fonte do Bispo, Tavira",552,4,4,174,2,,0,,,,,,,,
97,97,Sob Consulta,"Gafanha da Nazaré, Aveiro",,5,3,234,2,,,,,,,,,,
98,98,395.000,"Massamá Norte, Sintra",,4,2,136,1,,,,,,,,,,
99,99,420.000,"Santo Antão Tojal, Loures",270,3,3,170,5,,,,,,,,,,
100,100,650.000,"Parede, Cascais",186,3,3,94,2,,1,,,,,,,,
101,101,375.000,"Ajuda, Lisboa",34,3,2,80,,,,,,,,,,,
102,102,158.000,"Gafanha da Nazaré, Aveiro",,1,1,58,0,,,,,,,,,,
103,103,270.000,"Gulpilhares e Valadares, Vila Nova de Gaia",,2,2,96,1,,0,,,,,,,,
104,104,109.000,"Castelões, Porto",642,2,1,90,2,,,,,,,,,,
105,105,400.000,"Gulpilhares e Valadares, Vila Nova de Gaia",,3,2,144,2,,2,,,,,,,,
106,106,350.000,"Gulpilhares e Valadares, Vila Nova de Gaia",,2,2,103,1,,2,,,,,,,,
107,107,549.000,"Custóias, Matosinhos",368,4,2,153,2,,,,,,,,,,
108,108,800.000,"Santa Maria Maior, Viana do Castelo",352,5,4,431,3,,,,,,,,,,
109,109,250.000,"Campo, Viseu",500,3,2,66,,,,,,,,,,,
110,110,200.000,"Gulpilhares e Valadares, Vila Nova de Gaia",,1,1,51,1,,2,,,,,,,,
111,111,198.000,"Esmoriz, Aveiro",,2,2,67,1,,2,,,,,,,,
112,112,255.000,"Lumiar, Lisboa",,1,1,66,1,,5,,,,,,,,
113,113,215.000,"Santa Maria Maior, Vila Real",,2,2,100,1,,2,,,,,,,,
114,114,315.000,"Sesimbra - Almoinha, Sesimbra",,3,2,94,2,,1,,,,,,,,
115,115,215.000,"Santa Maria Maior, Vila Real",,2,2,100,1,,1,,,,,,,,
116,116,460.000,"Pataias e Martingança, Leiria",4400,4,4,200,4,,,,,,,,,,
117,117,266.500,"Santa Maria Maior, Vila Real",,3,3,105,2,,3,,,,,,,,
118,118,255.000,"Sesimbra - Almoinha, Sesimbra",,2,1,72,1,,1,,,,,,,,
119,119,25.000,"Rio de Couros e Casal dos Bernardos, Santarém",1516,,,36,2,,,,,,,,,,
120,120,215.000,"Santa Maria Maior, Vila Real",,2,2,100,1,,2,,,,,,,,
121,121,295.000,"Sesimbra - Almoinha, Sesimbra",,2,1,81,1,,2,,,,,,,,
122,122,215.000,"Santa Maria Maior, Vila Real",,2,2,100,1,,1,,,,,,,,
123,123,296.000,"Sesimbra - Almoinha, Sesimbra",,2,1,79,1,,2,,,,,,,,
124,124,460.000,"Ponta Delgada, Ponta Delgada",220,3,2,207,2,,,,,,,,,,
125,125,165.000,"J.Pimenta, Oeiras",,1,1,44,,,0,,,,,,,,
126,126,170.000,"Rio Tinto -Circunvalação, Gondomar",,2,1,67,,,0,,,,,,,,
127,127,260.000,"Mafamude, Vila Nova de Gaia",,2,2,51,1,,4,,,,,,,,
128,128,29.000,"Rio de Couros e Casal dos Bernardos, Santarém",2200,,,95,,,,,,,,,,,
129,129,48.000,"Cumeeira, Coimbra",482,3,1,94,2,,,,,,,,,,
130,130,112.500,"Assafarge, Coimbra",522,3,2,81,,,,,,,,,,,
131,131,349.000,"Carnaxide e Queijas, Lisboa",,2,1,84,,,5,,,,,,,,
132,132,550.000,"Parede, Cascais",248,2,2,66,3,,0,,,,,,,,
133,133,169.900,"Vieira de Leiria, Leiria",229,4,2,159,8,,,,,,,,,,
134,134,179.000,"Vilar de Andorinho, Vila Nova de Gaia",,2,1,92,1,,3,,,,,,,,
135,135,325.000,"Arões (São Romão), Braga",657,5,3,247,8,,,,,,,,,,
136,136,289.000,"Mafamude e Vilar do Paraíso, Porto",,3,3,157,2,,1,,,,,,,,
137,137,105.000,"Águas Livres, Lisboa",,1,1,60,,,3,,,,,,,,
138,138,27.500,"Partida, Castelo Branco",,2,1,66,,,,,,,,,,,
139,139,560.000,"Carnaxide e Queijas, Lisboa",,3,3,148,2,,0,,,,,,,,
140,140,230.000,"Damaia, Amadora",,2,1,68,0,,1,,,,,,,,
141,141,300.000,"Pinhal General, Sesimbra",,3,3,109,1,,1,,,,,,,,
142,142,Sob Consulta,"Areosa, Viana do Castelo",176,4,3,199,4,,,,,,,,,,
143,143,255.000,"Leiria, Leiria",,4,2,135,0,,5,,,,,,,,
144,144,218.000,"Seixal, Lourinhã",,2,2,65,2,,1,,,,,,,,
145,145,205.000,"Além da Ribeira e Pedreira, Santarém",178,2,1,222,,,,,,,,,,,
146,146,225.000,"Misericórdia, Lisboa",,1,1,60,,,-1,,,,,,,,
147,147,Sob Consulta,"Misericórdia, Lisboa",,2,2,61,,,0,,,,,,,,
148,148,129.000,"Rio de Couros e Casal dos Bernardos, Santarém",400,2,1,72,2,,,,,,,,,,
149,149,439.000,"Afife, Viana do Castelo",634,4,3,215,3,,,,,,,,,,
150,150,200.000,"Pinhal General, Sesimbra",,1,1,65,1,,0,,,,,,,,
151,151,155.000,"Chafé, Viana do Castelo",,2,1,78,,,1,,,,,,,,
152,152,211.000,"Santa Maria Maior, Vila Real",,3,3,150,2,,3,,,,,,,,
153,153,160.000,"Oliveira do Douro, Vila Nova de Gaia",,3,2,93,,,3,,,,,,,,
154,154,385.000,"Fafe, Fafe",632,7,3,532,,,,,,,,,,,
155,155,98.000,"Vila Nova de Monsarros, Aveiro",96,3,1,82,,,,,,,,,,,
156,156,Sob Consulta,"São João Baptista, Portalegre",16250,,,176,,,,,,,,,,,
157,157,990.000,"Madalena, Porto",672,3,3,234,2,,,,,,,,,,
158,158,160.000,"Campanhã, Porto",,1,1,35,,,,,,,,,,,
159,159,174.900,"Casa da Música, Porto",13,2,1,36,,,0,,,,,,,,
160,160,164.900,"Casa da Música, Porto",13,1,1,30,,,1,,,,,,,,
161,161,139.000,"Lamego (Almacave e Sé), Viseu",,3,2,93,1,,,,,,,,,,
162,162,215.000,"Gondemaria e Olival, Santarém",402,3,3,130,3,,,,,,,,,,
163,163,165.000,"Castelo Branco, Castelo Branco",,3,2,127,,,2,,,,,,,,
164,164,269.900,"Marisol, Almada",,2,1,103,,,1,,,,,,,,
165,165,199.900,"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",,3,1,80,,,2,,,,,,,,
166,166,380.000,"Esmoriz II, Ovar",1200,2,1,244,1,,,,,,,,,,
167,167,315.000,"Loulé (São Clemente), Faro",,3,2,150,2,,3,,,,,,,,
168,168,589.000,"Sítio de Sao Pedro/ Alto do Cano, Tavira",,6,7,256,2,,,,,,,,,,
169,169,530.000,"Vale Cavala, Almada",334,4,3,161,1,,,,,,,,,,
170,170,320.000,"Sesimbra - Sampaio, Sesimbra",350,2,1,,,,1,,,,,,,,
171,171,355.000,"Conde I, Sesimbra",315,5,4,165,3,,,,,,,,,,
172,172,185.000,"Centro, Portimão",96,2,2,61,,,0,,,,,,,,
173,173,269.900,"Venteira, Lisboa",,5,3,102,,,1,,,,,,,,
174,174,53.000,"Brogueira, Torres Novas",,5,1,150,,,,,,,,,,,
175,175,280.000,"A4 - Santa Maria Adelaide, Vila Nova de Gaia",225,3,3,127,1,,,,,,,,,,
176,176,169.000,"Ermesinde, Porto",,3,2,120,1,,1,,,,,,,,
177,177,70.000,"Baltar, Porto",210,2,1,60,1,,,,,,,,,,
178,178,Sob Consulta,"Portimão, Faro",,3,2,120,2,,3,,,,,,,,
179,179,1.300.000,"Quarteira, Faro",310,4,4,,2,,,,,,,,,,
180,180,289.500,"Santa Marinha e São Pedro da Afurada, Porto",,3,2,132,2,,3,,,,,,,,
181,181,645.000,"São Vicente, Lisboa",,3,3,,,,3,,,,,,,,
182,182,950.000,"A-das-Lebres, Loures",880,5,3,118,2,,,,,,,,,,
183,183,213.000,"Serralheiras, Sintra",,2,2,80,,,,,,,,,,,
184,184,415.000,"São Martinho do Bispo - Centro, Coimbra",517,4,4,161,3,,,,,,,,,,
185,185,215.900,"Custóias, Leça do Balio e Guifões, Porto",,2,2,,1,,2,,,,,,,,
186,186,45.000,"Urqueira, Santarém",5048,3,1,90,2,,,,,,,,,,
187,187,,"Canidelo, Porto",22-182,2-4,2-4,116-191,1-2,,5,,157,8,168-300,,,,
188,188,365.000,"Nossa Senhora da Piedade, Santarém",851,5,5,360,7,,,,,,,,,,
189,189,190.000,"Laranjeiro, Almada",,3,2,95,,,0,,,,,,,,
190,190,Sob Consulta,"Santa Maria Maior, Lisboa",,2,1,66,0,,2,,,,,,,,
191,191,162.000,"Braga (São José de São Lázaro e São João do Souto), Braga",,1,1,55,0,,1,,,,,,,,
192,192,89.000,"Lourinhã e Atalaia, Lisboa",56,2,1,100,,,,,,,,,,,
193,193,180.000,"Vila do Conde, Porto",,1,1,68,0,,2,,,,,,,,
194,194,480.000,"Aldoar, Porto",199,4,3,161,2,,,,,,,,,,
195,195,260.000,"Seia, Seia",1150,3,2,191,1,,,,,,,,,,
196,196,219.000,"Riba de Ave, Braga",650,3,3,137,,,,,,,,,,,
197,197,Sob Consulta,"Vila do Conde, Porto",,3,3,152,2,,0,,,,,,,,
198,198,1.600.000,"Jardins do Cristo Rei, Loures",,4,3,190,2,,5,,,,,,,,
199,199,209.000,"Quarteira, Faro",,0,1,36,1,,5,,,,,,,,
200,200,225.000,"Santa Barbara de Nexe, Faro",537,3,3,200,2,,,,,,,,,,
201,201,60.000,"Tendais, Viseu",45,,,45,,,,,,,,,,,
202,202,23.000,"Aguiar da Beira, Aguiar da Beira",1223,,,252,,,,,,,,,,,
203,203,359.000,"Amora, Setúbal",195,4,3,162,1,,,,,,,,,,
204,204,37.500,"Freches e Torres, Guarda",50,3,1,,,,,,,,,,,,
205,205,40.000,"Azoia de Cima e Tremês, Santarém",,1,1,,1,,,,,,,,,,
206,206,250.000,"Braga (Maximinos, Sé e Cividade), Braga",490,3,2,79,,,0,,,,,,,,
207,207,350.000,"Pedra Mourinha, Portimão",,3,2,85,,,6,,,,,,,,
208,208,254.000,"Santa Cruz/Trindade e Sanjurge, Vila Real",210,4,3,131,2,,,,,,,,,,
209,209,Sob Consulta,"Seixal, Arrentela e Aldeia de Paio Pires, Setúbal",,3,1,70,,,,,,,,,,,
210,210,85.000,"Monte Córdova, Santo Tirso",742,2,1,115,1,,,,,,,,,,
211,211,999.999,"Charneca de Caparica e Sobreda, Setúbal",319,4,3,,,,,,,,,,,,
212,212,150.000,"Santo Tirso, Santo Tirso",1516,4,2,206,0,,,,,,,,,,
213,213,Sob Consulta,"Casal do Marco, Seixal",,3,1,70,,,3,,,,,,,,
214,214,43.000,"Mioma, Viseu",285,4,1,200,,,,,,,,,,,
215,215,Sob Consulta,"São Mateus, Ilha do Pico",1400,4,4,,2,,,,,,,,,,
216,216,370.000,"Olhão Norte, Olhão",130,3,3,133,1,,,,,,,,,,
217,217,220.000,"Faro (Sé e São Pedro), Faro",,4,2,75,,,3,,,,,,,,
