,Unnamed: 0,Preço,Localização,Área Terreno (m2),Quartos,Casas de Banho,Área Útil (m2),Estacionamento,Certificado Energético,Piso,Elevador,Frações,Pisos,Área Bruta Construção (m2),Área Habitação (m2),Área Implantação (m2),Viabilidade Construção,Vedado
1307,1307,469.000,"Pontinha e Famões, Lisboa",,3,2,100,1,,6,,,,,,,,
1308,1308,Sob Consulta,"Roliça, Leiria",57,1,1,37,,,,,,,,,,,
1309,1309,173.000,"São Martinho da Gândara, Aveiro",240,3,1,72,2,,,,,,,,,,
1310,1310,173.000,"São Martinho da Gândara, Oliveira de Azeméis",230,3,1,72,2,,,,,,,,,,
1311,1311,Sob Consulta,"Salvaterra de Magos e Foros de Salvaterra, Santarém",,2,1,61,,,3,,,,,,,,
1312,1312,Sob Consulta,"Mindelo, Porto",,3,2,105,1,,0,,,,,,,,
1313,1313,Sob Consulta,"Centro da Cidade, Vila do Conde",,3,2,109,,,3,,,,,,,,
1314,1314,240.000,"Espinho IV, Espinho",,2,2,94,1,,2,,,,,,,,
1315,1315,485.000,"Santa Bárbara, Lisboa",850,3,2,124,2,,,,,,,,,,
1316,1316,675.000,"Valbom Zona 3, Gondomar",1170,4,4,282,2,,,,,,,,,,
1317,1317,190.000,"Ramalde, Porto",,2,1,80,1,,2,,,,,,,,
1318,1318,125.000,"Benavente, Santarém",,3,2,100,,,3,,,,,,,,
1319,1319,145.000,"Benavente, Santarém",25,,,25,,,,,,,,,,,
1320,1320,135.900,"Cruz Quebrada Dafundo, Oeiras",,2,1,42,,,3,,,,,,,,
1321,1321,410.000,"Ermesinde, Porto",1304,5,4,208,3,,,,,,,,,,
1322,1322,Sob Consulta,"Rosto do Cão (Livramento), Ilha de São Miguel",220,4,2,205,2,,,,,,,,,,
1323,1323,140.000,"Lamego (Almacave e Sé), Viseu",,3,2,117,1,,3,,,,,,,,
1324,1324,134.000,"Loulé (São Sebastião), Faro",20,1,2,40,,,,,,,,,,,
1325,1325,180.000,"Vila Praia de Âncora, Viana do Castelo",,2,1,75,1,,3,,,,,,,,
1326,1326,189.000,"São Cosme Zona 7, Gondomar",,2,1,,1,,2,,,,,,,,
1327,1327,130.000,"Paredes de Coura e Resende, Viana do Castelo",,2,1,86,1,,2,,,,,,,,
1328,1328,415.000,"São Miguel Encostas, Cascais",,2,2,107,1,,0,,,,,,,,
1329,1329,550.000,"Revelhe, Braga",1100,4,6,259,2,,,,,,,,,,
1330,1330,264.500,"Vialonga, Lisboa",,3,2,119,2,,3,,,,,,,,
1331,1331,245.000,"Campo (São Martinho), São Salvador do Campo e Negrelos (São Mamede), Porto",407,3,2,111,2,,,,,,,,,,
1332,1332,860.000,"Fão, Esposende",443,4,3,101,1,,,,,,,,,,
1333,1333,25.000,"Oliveira do Bairro, Aveiro",51,1,1,,1,,,,,,,,,,
1334,1334,75.000,"Pomares, Coimbra",72,3,2,144,,,,,,,,,,,
1335,1335,79.000,"Rubiães, Viana do Castelo",1213,3,2,91,,,,,,,,,,,
1336,1336,,"Ramalde, Porto",,0,1,95,0,,,,16,9,,,,,
1337,1337,Sob Consulta,"Idães, Porto",2648,,,770,3,,,,,,,,,,
1338,1338,595.000,"Montgeron, Póvoa de Varzim",,5,4,240,3,,4,,,,,,,,
1339,1339,105.000,"Santa Cruz/Trindade e Sanjurge, Vila Real",,1,1,70,1,,0,,,,,,,,
1340,1340,380.000,"Estreito de Câmara de Lobos, Ilha da Madeira",3150,4,2,173,2,,,,,,,246,,,
1341,1341,Sob Consulta,"Cascais e Estoril, Lisboa",,2,3,96,2,,,,,,,,,,
1342,1342,155.000,"Muge, Santarém",800,2,1,101,,,,,,,,,,,
1343,1343,75.000,"Santa Clara, Ilha de São Miguel",126,3,1,110,,,,,,,,,,,
1344,1344,465.000,"Mina, Amadora",,3,2,106,2,,,,,,,,,,
1345,1345,98.500,"Penamacor, Castelo Branco",60,3,2,135,,,,,,,,,,,
1346,1346,370.000,"Mina, Amadora",,2,1,72,2,,,,,,,,,,
1347,1347,2.450.000,"Arcozelo, Porto",2690,4,7,513,4,,,,,,,,,,
1348,1348,445.000,"Mina, Amadora",,3,2,106,2,,,,,,,,,,
1349,1349,133.000,"1- Centro, Penafiel",,1,1,75,1,,3,,,,,,,,
1350,1350,350.000,"Mina, Amadora",,2,1,62,2,,,,,,,,,,
1351,1351,155.000,"SZ2 - S. Mamede, Vila Nova de Gaia",,2,2,82,1,,0,,,,,,,,
1352,1352,232.500,"Albufeira - Vale Pedras, Albufeira",,1,1,79,,,0,,,,,,,,
1353,1353,130.000,"Quinta, Albergaria-a-Velha",145,3,1,80,3,,,,,,,,,,
1354,1354,485.000,"Mina, Amadora",,3,2,115,2,,,,,,,,,,
1355,1355,168.500,"São Domingos, Santarém",,4,2,134,,,,,,,,,,,
1356,1356,175.000,"Agualva e Mira-Sintra, Lisboa",,2,1,72,,,4,,,,,,,,
1357,1357,110.000,"Albufeira e Olhos de Água, Faro",,0,1,31,1,,2,,,,,,,,
1358,1358,480.000,"Mina, Amadora",,3,2,106,2,,,,,,,,,,
1359,1359,1.440.000,"Avenidas Novas, Lisboa",,4,4,220,,,3,,,,,,,,
1360,1360,237.000,"Oliveira do Bairro, Aveiro",704,3,1,104,3,,,,,,,,,,
1361,1361,269.000,"Esposende, Esposende",,3,3,128,1,,1,,,,,,,,
1362,1362,180.000,"Rabo de Peixe, Ilha de São Miguel",100,3,1,102,,,,,,,,,,,
1363,1363,Sob Consulta,"Fafe, Fafe",,3,2,107,1,,2,,,,,,,,
1364,1364,265.000,"Mina, Amadora",,1,1,50,1,,,,,,,,,,
1365,1365,148.000,"Santarém (Marvila), Santa Iria da Ribeira de Santarém, Santarém (São Salvador) e Santarém (São Nicolau), Santarém",,3,2,101,,,,,,,,,,,
1366,1366,280.000,"Mina, Amadora",,1,1,56,1,,,,,,,,,,
1367,1367,295.000,"Lagos, Lagos",,2,2,115,1,,5,,,,,,,,
1368,1368,239.000,"Aguiar de Sousa, Porto",934,2,2,94,3,,,,,,,,,,
1369,1369,185.000,"Escusa, Albergaria-a-Velha",940,3,2,163,3,,,,,,,,,,
1370,1370,128.000,"Alfena, Porto",,3,2,100,1,,1,,,,,,,,
1371,1371,299.000,"Vilamoura, Loulé",,2,1,112,2,,1,,,,,,,,
1372,1372,490.000,"Ajuda, Lisboa",212,2,1,51,2,,,,,,,,,,
1373,1373,535.000,"Olivais Sul, Lisboa",,3,2,130,,,9,,,,,,,,
1374,1374,900.000,"Horta (Conceição), Ilha do Faial",6959,,,,,,,,,,,,,,
1375,1375,,"Esposende, Marinhas e Gandra, Esposende",161-795,3-4,2-5,130-778,1-6,,,,0-1,0-2,180-336,,131-336,,
1376,1376,325.000,"Comeira, Marinha Grande",342,4,3,216,1,,2,,,,,,,,
1377,1377,140.000,"Antas, Porto",84,,,34,,,,,,,,,,,
1378,1378,330.000,"Madredeus, Lisboa",,1,2,134,,,0,,,,,,,,
1379,1379,945.000,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",95,4,4,174,2,,,,,,,,,,
1380,1380,50.000,"Santo Antão, Ilha de São Jorge",1936,3,2,,,,,,,,,,,,
1381,1381,842.500,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",,3,3,158,1,,2,,,,,,,,
1382,1382,882.500,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",,3,3,166,1,,2,,,,,,,,
1383,1383,230.000,"São Félix da Marinha, Porto",,2,2,100,1,,3,,,,,,,,
1384,1384,285.000,"Aldoar, Porto",202,4,4,42,0,,,,,,,,,,
1385,1385,85.000,"Vale de Anta, Vila Real",150,2,1,,1,,,,,,,,,,
1386,1386,832.500,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",,3,,158,1,,2,,,,,,,,
1387,1387,182.000,"Zouparria do Monte, Coimbra",,3,2,122,1,,,,,,,,,,
1388,1388,215.000,"Marinhais, Santarém",2400,3,2,132,2,,,,,,,,,,
1389,1389,100.000,"Angeja, Albergaria-a-Velha",1285,3,,317,3,,,,,,,,,,
1390,1390,617.500,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",,2,1,109,1,,0,,,,,,,,
1391,1391,615.000,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",,2,2,109,1,,0,,,,,,,,
1392,1392,445.000,"Charneca de Caparica e Sobreda, Setúbal",298,4,4,,1,,0,,,,,,,,
1393,1393,175.000,"Arcozelo, Braga",,3,2,126,,,0,,,,,,,,
1394,1394,355.000,"Carvalhido, Porto",,3,2,132,1,,,,,,,,,,
1395,1395,255.000,"Canidelo, Porto",,3,2,118,1,,2,,,,,,,,
1396,1396,172.000,"Serra das Minas, Sintra",,2,1,78,,,1,,,,,,,,
1397,1397,225.000,"Ançã, Cantanhede",236,3,3,275,,,,,,,,,,,
1398,1398,219.000,"Costa de Caparica, Almada",,1,1,40,1,,2,,,,,,,,
1399,1399,690.000,"Azeitão, Setúbal",666,4,4,190,2,,1,,,,,,,,
1400,1400,395.000,"Amora, Setúbal",142,5,4,155,1,,,,,,,,,,
1401,1401,390.000,"Amora, Setúbal",142,5,4,155,1,,,,,,,,,,
1402,1402,850.000,"Abrunheira, Sintra",445,4,3,165,2,,,,,,,,,,
1403,1403,480.000,"São Vicente, Lisboa",,2,2,70,1,,4,,,,,,,,
1404,1404,740.000,"Lumiar, Lisboa",,3,2,116,2,,,,,,,,,,
1405,1405,298.000,"Carvoeira, Mafra, Mafra",,2,1,68,1,,1,,,,,,,,
1406,1406,440.000,"Nogueira, Fraião e Lamaçães, Braga",,3,3,111,1,,6,,,,,,,,
1407,1407,788.000,"Gondizalves, Braga",576,4,4,203,4,,,,,,,,,,
1408,1408,189.900,"Cruz de Pau, Seixal",,3,2,117,,,2,,,,,,,,
1409,1409,995.000,"Cascais e Estoril, Lisboa",,3,3,103,,,6,,,,,,,,
1410,1410,355.000,"Quinta do Brasileiro, Seixal",100,3,2,120,2,,,,,,,,,,
1411,1411,79.800,"Valverde, Fundão",,2,1,72,,,1,,,,,,,,
1412,1412,129.500,"Sacavém, Loures",,2,1,55,,,3,,,,,,,,
1413,1413,320.000,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nico, Porto",,1,1,55,1,,,,,,,,,,
1414,1414,370.000,"Charneca de Caparica e Sobreda, Setúbal",,2,2,85,0,,1,,,,,,,,
1415,1415,320.000,"São Bartolomeu dos Galegos e Moledo, Lisboa",385,4,3,108,1,,,,,,,,,,
1416,1416,230.000,"Alpiarça, Santarém",,3,3,177,1,,,,,,,,,,
1417,1417,550.000,"Avenidas Novas, Lisboa",,5,1,,,,4,,,,,,,,
1418,1418,139.000,"Águas Livres, Lisboa",,1,1,36,,,11,,,,,,,,
1419,1419,350.000,"Avintes, Vila Nova de Gaia",1130,4,3,220,4,,,,,,,,,,
1420,1420,379.500,"Arcos e Mogofores, Aveiro",1350,3,4,240,1,,,,,,,,,,
1421,1421,125.000,"Castelejo, Castelo Branco",,3,3,210,2,,,,,,,,,,
1422,1422,450.000,"Gême, Braga",990,4,4,265,,,,,,,,,,,
1423,1423,450.000,"Gême, Braga",990,4,4,265,,,,,,,,,,,
1424,1424,450.000,"Gême, Braga",990,4,4,265,,,,,,,,,,,
1425,1425,450.000,"Gême, Braga",990,4,4,265,,,,,,,,,,,
1426,1426,450.000,"Gême, Braga",990,4,4,265,,,,,,,,,,,
1427,1427,250.000,"Ribeira Santarém, Santarém",7955,2,3,,,,,,,,,,,,
1428,1428,215.000,"Caniço, Ilha da Madeira",,2,1,130,1,,3,,,,,,,,
1429,1429,245.000,"Beato, Lisboa",,2,1,65,,,2,,,,,,,,
1430,1430,475.000,"Meia Praia, Lagos",,2,2,98,1,,2,,,,,,,,
1431,1431,265.000,"Águas Livres, Lisboa",,3,2,94,,,1,,,,,,,,
1432,1432,375.000,"Caniço, Ilha da Madeira",130,3,3,140,3,,,,,,,,,,
1433,1433,550.000,"Bairro de Santo António, Cascais",118,3,3,87,0,,,,,,,,,,
1434,1434,385.000,"Costa Cabral, Porto",,3,4,120,1,,2,,,,,,,,
1435,1435,200.000,"Centro Histórico, Évora",88,2,2,84,,,,,,,,,,,
1436,1436,245.000,"Arruda dos Vinhos, Lisboa",,3,2,106,,,1,,,,,,,,
1437,1437,170.000,"Braga (Maximinos, Sé e Cividade), Braga",,3,2,100,1,,5,,,,,,,,
1438,1438,270.000,"Nogueira, Fraião e Lamaçães, Braga",,2,2,73,1,,3,,,,,,,,
1439,1439,230.000,"Oliveira do Douro, Vila Nova de Gaia",,3,2,100,1,,0,,,,,,,,
1440,1440,340.000,"Arca d´ Água, Porto",,2,2,95,1,,1,,,,,,,,
1441,1441,180.000,"Águas Santas, Porto",,2,2,110,1,,1,,,,,,,,
1442,1442,310.000,"Arca d´ Água, Porto",,2,2,83,1,,2,,,,,,,,
1443,1443,175.000,"Sernancelhe, Sernancelhe",600,4,2,127,2,,,,,,,,,,
1444,1444,310.000,"Argoncilhe, Aveiro",,4,4,398,2,,,,,,,,,,
1445,1445,145.000,"Venteira, Amadora",,1,1,50,,,0,,,,,,,,
1446,1446,127.000,"Fátima, Ourém",,1,1,53,,,1,,,,,,,,
1447,1447,280.000,"Moscavide, Loures",,2,1,70,,,2,,,,,,,,
1448,1448,187.500,"Vila Praia de Âncora, Viana do Castelo",,3,2,130,1,,2,,,,,,,,
1449,1449,395.000,"Samora Correia, Santarém",385,4,5,237,2,,,,,,,,,,
1450,1450,195.000,"Seiça, Santarém",1250,4,2,140,4,,,,,,,,,,
1451,1451,215.000,"Venteira, Lisboa",,3,2,81,,,0,,,,,,,,
1452,1452,950.000,"Madalena do Mar, Ilha da Madeira",441,3,5,253,2,,,,,,,,,,
1453,1453,,"Alfena, Valongo",165-247,3,4,267,3,,,,0,3,,,87,,
1454,1454,220.000,"Peniche, Peniche",,7,3,174,1,,3,,,,,,,,
1455,1455,160.000,"Esc. Ginestal Machado, Santarém",,2,1,100,1,,,,,,,,,,
1456,1456,162.000,"Infias, Braga",,2,1,71,1,,1,,,,,,,,
1457,1457,415.000,"Metro do Marquês, Porto",,4,3,140,1,,2,,,,,,,,
1458,1458,235.000,"Águas Santas, Porto",,3,3,130,3,,1,,,,,,,,
1459,1459,270.000,"Castanheira do Ribatejo e Cachoeiras, Lisboa",,3,2,125,,,2,,,,,,,,
1460,1460,210.000,"Areosa, Porto",,1,1,53,1,,1,,,,,,,,
1461,1461,250.000,"Infias, Braga",258,3,2,98,2,,,,,,,,,,
1462,1462,88.000,"Lugar da Estrada, Peniche",152,2,1,49,2,,,,,,,,,,
1463,1463,150.000,"Aguiar, Évora",129,2,1,65,2,,,,,,,,,,
1464,1464,995.000,"Valbom Zona 3, Gondomar",573,4,5,420,2,,,,,,,,,,
1465,1465,Sob Consulta,"Valpaços e Sanfins, Vila Real",775,4,2,194,2,,,,,,,,,,
1466,1466,300.000,"São Martinho das Chãs, Viseu",730,6,2,406,1,,,,,,,,,,
1467,1467,155.000,"Real, Dume e Semelhe, Braga",118,4,2,,,,,,,,,,,,
1468,1468,225.000,"Oliveirinha, Aveiro",,3,2,99,1,,,,,,,,,,
1469,1469,160.000,"Fânzeres - Carvalha, Gondomar",,3,2,94,,,2,,,,,,,,
1470,1470,725.000,"Mafra Periferia, Mafra",592,5,3,230,2,,,,,,,,,,
1471,1471,1.299.999,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Lisboa",460,5,4,265,2,,,,,,,,,,
1472,1472,285.000,"Canidelo, Porto",15,2,2,129,1,,,,,,,,,,
1473,1473,269.000,"Falagueira-Venda Nova, Lisboa",,3,2,106,,,2,,,,,,,,
1474,1474,425.000,"Tomar (São João Baptista) e Santa Maria dos Olivais, Santarém",614,4,4,260,2,,,,,,,,,,
1475,1475,196.500,"Estorãos, Braga",809,3,2,334,,,,,,,,,,,
1476,1476,299.000,"Fluvial, Porto",,3,2,81,,,4,,,,,,,,
1477,1477,720.000,"Arruda dos Vinhos, Lisboa",1227,4,5,218,10,,0,,,,,,,,
1478,1478,490.000,"Chamusca e Pinheiro Grande, Santarém",9160,6,6,302,4,,,,,,,,,,
1479,1479,299.000,"Estrela, Lisboa",,3,1,60,,,2,,,,,,,,
1480,1480,Sob Consulta,"Rio Tinto - Estação, Gondomar",85,2,1,68,,,0,,,,,,,,
1481,1481,390.000,"Montijo e Afonsoeiro, Setúbal",,3,2,100,1,,4,,,,,,,,
1482,1482,385.000,"Montijo e Afonsoeiro, Setúbal",,3,2,100,1,,4,,,,,,,,
1483,1483,345.000,"Montijo e Afonsoeiro, Setúbal",,3,2,100,1,,3,,,,,,,,
1484,1484,249.000,"Baixa do Porto, Porto",,0,1,49,,,1,,,,,,,,
1485,1485,285.000,"Cartaxo e Vale da Pinta, Santarém",345,8,4,285,3,,,,,,,,,,
1486,1486,238.000,"Campo de Ourique, Lisboa",,2,1,68,,,2,,,,,,,,
1487,1487,365.000,"Montijo e Afonsoeiro, Setúbal",,3,2,100,1,,3,,,,,,,,
1488,1488,340.000,"Montijo e Afonsoeiro, Setúbal",,3,2,100,1,,2,,,,,,,,
1489,1489,340.000,"Montijo e Afonsoeiro, Setúbal",,3,2,100,1,,2,,,,,,,,
1490,1490,245.000,"Baixa do Porto, Porto",,0,1,49,,,2,,,,,,,,
1491,1491,335.000,"Montijo e Afonsoeiro, Setúbal",,3,2,100,1,,1,,,,,,,,
1492,1492,299.000,"Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa",,3,2,120,2,,4,,,,,,,,
1493,1493,335.000,"Montijo e Afonsoeiro, Setúbal",,3,2,100,1,,1,,,,,,,,
1494,1494,150.000,"Ermesinde, Porto",,2,1,74,,,3,,,,,,,,
1495,1495,425.000,"Vale Formoso de Cima, Lisboa",,3,2,109,2,,7,,,,,,,,
1496,1496,290.000,"Montijo e Afonsoeiro, Setúbal",,2,2,85,1,,0,,,,,,,,
1497,1497,Sob Consulta,"Rio Tinto - Estação, Gondomar",,2,1,65,,,0,,,,,,,,
1498,1498,299.000,"São Brás de Alportel, Faro",621,5,2,171,1,,,,,,,,,,
1499,1499,250.000,"Olhão Baixa, Olhão",,4,2,78,,,,,,,,,,,
1500,1500,1.650.000,"Foz, Porto",,6,6,257,3,,3,,,,,,,,
1501,1501,490.000,"Tomar (São João Baptista) e Santa Maria dos Olivais, Santarém",1167,5,5,346,4,,,,,,,,,,
1502,1502,67.500,"Cantanhede, Cantanhede",56,1,,50,,,,,,,,,,,
1503,1503,245.000,"Olivais Sul, Lisboa",,3,1,92,,,0,,,,,,,,
1504,1504,215.000,"Areosa, Gondomar",,3,2,84,1,,2,,,,,,,,
1505,1505,227.000,"Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães, Viana do Castelo",539,2,2,156,2,,,,,,,,,,
1506,1506,180.000,"Monte Abraão, Sintra",,2,1,66,,,4,,,,,,,,
1507,1507,110.000,"Samora Correia, Santarém",31,1,1,31,,,,,,,,,,,
1508,1508,120.000,"Paranhos, Porto",,1,1,64,,,0,,,,,,,,
1509,1509,120.000,"Cantanhede e Pocariça, Coimbra",581,5,2,191,1,,,,,,,,,,
1510,1510,164.500,"Centro Histórico, Santarém",64,2,1,64,,,,,,,,,,,
1511,1511,587.000,"Perafita, Lavra e Santa Cruz do Bispo, Porto",300,4,4,239,2,,,,,,,,,,
1512,1512,432.000,"S. Pedro da Cova, Gondomar",535,3,3,173,2,,,,,,,,,,
1513,1513,225.000,"Vila do Conde, Porto",,2,2,113,1,,1,,,,,,,,
1514,1514,250.000,"São Brás de Alportel, Faro",,3,2,114,,,0,,,,,,,,
1515,1515,100.000,"Baixa da Banheira, Moita",,1,,48,,,3,,,,,,,,
1516,1516,330.000,"Antas e Abade de Vermoim, Braga",180,3,3,164,2,,,,,,,,,,
1517,1517,180.000,"Campo e Sobrado, Porto",780,2,1,66,1,,,,,,,,,,
1518,1518,899.000,"Quelfes, Faro",493,3,4,298,5,,,,,,,,,,
1519,1519,240.000,"Olivais Norte, Lisboa",,2,1,50,,,0,,,,,,,,
1520,1520,330.000,"Antas e Abade de Vermoim, Braga",180,3,3,164,2,,,,,,,,,,
1521,1521,159.500,"Mina de Água, Lisboa",,2,2,52,,,0,,,,,,,,
1522,1522,855.000,"Água de Pena, Machico",,6,6,190,8,,,,,,,,,,
1523,1523,295.000,"Glória e Vera Cruz, Aveiro",115,5,2,104,0,,,,,,,,,,
1524,1524,142.000,"Paredes, Paredes",,2,1,101,1,,1,,,,,,,,
1525,1525,330.000,"Antas e Abade de Vermoim, Braga",180,3,3,164,2,,,,,,,,,,
1526,1526,,"São Martinho, Funchal",,2-3,2,104-130,1-2,,1-2,,0,6,,,,,
1527,1527,375.000,"Vale Dourado, Santarém",447,3,3,132,1,,,,,,,,,,
1528,1528,675.000,"Carcavelos e Parede, Lisboa",,3,2,90,2,,2,,,,,,,,
1529,1529,195.000,"Nau, Évora",,2,2,100,1,,1,,,,,,,,
1530,1530,548.000,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa",,4,3,120,1,,2,,,,,,,,
1531,1531,270.000,"Murtal, Cascais",,2,1,71,1,,2,,,,,,,,
1532,1532,330.000,"Antas e Abade de Vermoim, Braga",252,3,3,173,2,,,,,,,,,,
1533,1533,295.000,"Armação de Pera, Silves",,2,1,68,2,,8,,,,,,,,
1534,1534,140.000,"Trindade, Porto",4,1,1,35,,,,,,,,,,,
1535,1535,Sob Consulta,"Boavista, Porto",31,1,1,41,0,,,,,,,,,,
1536,1536,289.000,"Vale (São Martinho), Braga",516,4,3,170,2,,,,,,,,,,
1537,1537,299.000,"Portimão, Faro",,3,2,85,,,8,,,,,,,,
1538,1538,160.000,"Laranjeiro, Almada",,2,1,76,,,8,,,,,,,,
1539,1539,287.500,"Quinta da Lomba, Coimbra",,2,1,81,1,,3,,,,,,,,
1540,1540,329.000,"Caniço, Ilha da Madeira",,3,2,108,2,,2,,,,,,,,
1541,1541,780.000,"Vialonga, Lisboa",442,10,3,,2,,0,,,,,,,,
1542,1542,249.500,"Alpiarça, Alpiarça",329,5,2,242,2,,,,,,,,,,
1543,1543,245.000,"Milagres, Leiria",157,4,3,189,4,,,,,,,,,,
1544,1544,185.000,"Belas, Sintra",,2,1,73,,,,,,,,,,,
1545,1545,Sob Consulta,"Penafiel, Porto",,2,1,93,1,,2,,,,,,,,
1546,1546,Sob Consulta,"Ponta Delgada (São José), Ilha de São Miguel",68,3,1,48,,,,,,,,,,,
1547,1547,495.000,"Mafamude, Vila Nova de Gaia",,3,5,174,,,,,,,,,,,
1548,1548,650.000,"Ramalde, Porto",377,3,,,2,,,,,,,,,,
1549,1549,Sob Consulta,"Ovar, São João, Arada e São Vicente de Pereira Jusã, Aveiro",360,4,3,156,1,,,,,,,,,,
1550,1550,295.000,"Brandoa, Amadora",,3,2,103,1,,1,,,,,,,,
1551,1551,190.000,"Odivelas, Lisboa",,2,1,56,,,2,,,,,,,,
1552,1552,Sob Consulta,"S. João de Ovar, Ovar",320,4,3,156,1,,,,,,,,,,
1553,1553,268.000,"Água de Pena, Ilha da Madeira",208,3,3,145,3,,,,,,,,,,
1554,1554,132.500,"Alto do Forno, Figueira da Foz",,1,1,60,1,,5,,,,,,,,
1555,1555,325.000,"Boa Água I, Sesimbra",300,3,1,162,1,,,,,,,,,,
1556,1556,302.310,"Costa de Caparica, Almada",,3,2,86,,,4,,,,,,,,
1557,1557,130.000,"Sátão, Viseu",,3,2,145,1,,4,,,,,,,,
1558,1558,128.500,"Paredes, Paredes",,0,1,38,0,,3,,,,,,,,
1559,1559,200.000,"Oliveira do Douro, Vila Nova de Gaia",,2,1,106,1,,1,,,,,,,,
1560,1560,385.000,"Pinheiro Manso, Porto",,2,2,127,1,,4,,,,,,,,
1561,1561,179.000,"Santa Marinha e São Pedro da Afurada, Porto",,2,1,62,1,,7,,,,,,,,
1562,1562,300.000,"Lordelo, Vila Real",6450,3,3,226,2,,,,,,,,,,
1563,1563,170.000,"Olhão Centro, Olhão",,3,2,94,,,2,,,,,,,,
1564,1564,3.950.000,"Estoril, Cascais",471,6,3,293,1,,,,,,,,,,
1565,1565,167.000,"Jardim das Pedras, Porto",,1,1,38,0,,4,,,,,,,,
1566,1566,216.000,"Lugar da Estrada, Peniche",75,3,2,158,3,,,,,,,,,,
1567,1567,230.000,"Balazar, Porto",,3,2,,1,,,,,,,,,,
1568,1568,147.000,"Águas Santas, Porto",,1,1,80,1,,1,,,,,,,,
1569,1569,815.000,"Alto dos Moinhos - Laranjeiras, Lisboa",,4,3,182,1,,1,,,,,,,,
1570,1570,139.900,"São João da Madeira, Aveiro",,2,2,78,1,,3,,,,,,,,
1571,1571,,"Amares e Figueiredo, Amares",514-830,3-4,3-4,115-176,2,,,,0,1,204-357,,204-357,,
1572,1572,295.000,"Cova, Viana do Castelo",,4,3,143,2,,1,,,,,,,,
1573,1573,Sob Consulta,"Praia, Póvoa de Varzim",,3,2,100,1,,4,,,,,,,,
1574,1574,257.500,"Lisboa, Odivelas",,3,2,69,,,0,,,,,,,,
1575,1575,595.000,"Pontinha, Odivelas",241,4,4,160,2,,,,,,,,,,
1576,1576,220.000,"Covilhã e Canhoso, Castelo Branco",200,8,3,,0,,,,,,,,,,
1577,1577,350.000,"Guia, Ilha e Mata Mourisca, Leiria",1112,10,,288,,,,,,,,,,,
1578,1578,210.000,"Lisboa, Lisboa",,1,1,43,,,1,,,,,,,,
1579,1579,75.000,"Insalde e Porreiras, Viana do Castelo",290,2,2,159,2,,,,,,,,,,
1580,1580,210.000,"Peso da Régua e Godim, Vila Real",,3,2,122,1,,4,,,,,,,,
1581,1581,87.500,"Arco de Baúlhe e Vila Nune, Braga",540,3,2,90,2,,,,,,,,,,
1582,1582,176.500,"1- Centro, Penafiel",,3,2,140,1,,5,,,,,,,,
1583,1583,258.000,"Vale Flores, Sintra",,2,1,96,,,,,,,,,,,
1584,1584,680.000,"C. Bordalo Pinheiro - Laranjeiras, Lisboa",,4,3,147,1,,5,,,,,,,,
1585,1585,685.000,"Loja do Cidadão - Laranjeiras, Lisboa",,3,2,139,2,,1,,,,,,,,
1586,1586,Sob Consulta,"Santa Maria Maior, Vila Real",,1,1,43,1,,0,,,,,,,,
1587,1587,395.000,"Lourel, Sintra, Sintra",,2,1,120,2,,,,,,,,,,
1588,1588,220.000,"Conde III, Sesimbra",,3,1,130,,,1,,,,,,,,
1589,1589,195.000,"Riba de Ave, Braga",,3,3,128,1,,2,,,,,,,,
1590,1590,365.000,"Apúlia e Fão, Braga",,2,2,81,2,,1,,,,,,,,
1591,1591,,"Alvor, Portimão",,2-4,2-5,87-168,1-3,,3,,0-16,0-6,,,,,
1592,1592,197.500,"Laranjeiro, Almada",,4,1,120,,,1,,,,,,,,
1593,1593,210.000,"Arrifes, Ilha de São Miguel",335,4,2,198,,,2,,,,,,,,
1594,1594,155.000,"Feijó, Almada",,1,1,57,,,6,,,,,,,,
1595,1595,119.500,"A dos Francos, Leiria",,1,,,,,,,,,,,,,
1596,1596,379.000,"Fernão Ferro, Setúbal",354,4,3,106,2,,,,,,,,,,
1597,1597,1.650.000,"Foz, Porto",309,4,3,220,1,,,,,,,,,,
1598,1598,97.500,"Miratejo, Seixal",,1,1,36,,,2,,,,,,,,
1599,1599,,"Labruge, Vila do Conde",6-143,1-3,1-3,70-167,1,,3,,0,0-1,,,,,
1600,1600,92.500,"Pataias e Martingança, Leiria",,1,1,64,,,0,,,,,,,,
1601,1601,860.000,"Quarteira, Faro",,3,3,108,2,,3,,,,,,,,
1602,1602,450.000,"Quarteira, Faro",,1,2,56,1,,2,,,,,,,,
